Gene	n.vars	mean.s	fdr	Tissue
AAMP	27	3.2257814979195	0.0289389842893679	B cells
ABCA3	7	5.23176371301708	0.0108829348722176	B cells
ACSS2	173	2.29197820470918	0.0108829348722176	B cells
ACTR2	52	3.08713433261166	0.0157154761904762	B cells
ACVR1C	58	1.934051048187	0.020293620292083	B cells
ADAR	35	2.9689657224291	0.0157154761904762	B cells
AFG3L2	3	7.96834563307424	0.0332160316319195	B cells
AIMP1	251	2.51986085305817	0.0108829348722176	B cells
AKAP11	183	2.38989974396977	0.00577219064276345	B cells
AKAP13	269	2.47917854032657	0.0494756388415673	B cells
AKIRIN2	25	3.24903417685871	0.020293620292083	B cells
ALDH3A2	28	3.19128269116953	0.0289389842893679	B cells
ALYREF	12	4.03144138030984	0.020293620292083	B cells
ANAPC13	7	2.32142622283904	0.0455206896551724	B cells
ANAPC15	6	5.0842189301419	0.0157154761904762	B cells
ANKRD12	104	2.64381946861973	0.00577219064276345	B cells
ANKRD13A	53	3.11720580397101	0.0157154761904762	B cells
ANKRD16	106	2.5992789046872	0.0108829348722176	B cells
ANKRD28	597	2.21752215489024	0.00577219064276345	B cells
ANKRD54	40	3.30142918736065	0.00577219064276345	B cells
ANO5	11	4.14955844940791	0.020293620292083	B cells
ANXA2	109	2.74537365192491	0.00577219064276345	B cells
AP2A2	233	2.45486618311424	0.0108829348722176	B cells
AP4B1	39	3.08032143463024	0.0415561385099685	B cells
AP5M1	37	2.43711159246571	0.0157154761904762	B cells
ARAP2	5	6.0733262820848	0.0289389842893679	B cells
ARHGAP6	435	1.77921266228506	0.00577219064276345	B cells
ARHGEF18	135	2.47875483187227	0.0157154761904762	B cells
ARHGEF3	279	2.3814696565758	0.0157154761904762	B cells
ARID5B	20	3.5012187686606	0.0289389842893679	B cells
ARL6IP4	23	3.59133034601811	0.0108829348722176	B cells
ARNTL2	6	5.15621534591864	0.0289389842893679	B cells
ARPC2	124	2.61202255948184	0.0246011926947447	B cells
ARPC5	43	3.85070782189022	0.00577219064276345	B cells
ARPP19	5	4.90043927417318	0.0289389842893679	B cells
ARSG	226	2.32403618115805	0.0289389842893679	B cells
ARV1	55	2.84912175121589	0.0157154761904762	B cells
ASB12	78	2.98160823487725	0.00577219064276345	B cells
ATP13A2	75	3.32561557002364	0.0157154761904762	B cells
ATP13A3	191	2.57010981977196	0.00577219064276345	B cells
ATP6V1A	117	2.5744082596444	0.0289389842893679	B cells
ATP6V1C1	146	2.46898867774537	0.0455206896551724	B cells
ATP6V1E1	70	2.83749223595788	0.00577219064276345	B cells
ATRX	312	2.40787246807305	0.00577219064276345	B cells
ATXN3	9	5.07039133747713	0.00577219064276345	B cells
B4GALNT4	10	2.14195744407241	0.0415561385099685	B cells
B9D1	26	3.9866028984693	0.00577219064276345	B cells
BABAM1	7	4.21032194973558	0.0373437057991513	B cells
BACE1	51	3.13063085911271	0.00577219064276345	B cells
BAG3	30	3.3404482070875	0.0157154761904762	B cells
BAHCC1	82	2.83937903269077	0.020293620292083	B cells
BANP	25	2.25746162225242	0.020293620292083	B cells
BATF	75	2.66740093942578	0.0157154761904762	B cells
BAZ2A	31	3.86258686946884	0.00577219064276345	B cells
BBIP1	10	3.71660987016905	0.0373437057991513	B cells
BET1L	26	3.36534171545666	0.020293620292083	B cells
BIN2	12	3.72072245277851	0.0494756388415673	B cells
BLB1	4	5.74409351445295	0.0157154761904762	B cells
BRPF1	38	2.60597081389212	0.0332160316319195	B cells
BRSK1	880	2.06097815849303	0.020293620292083	B cells
BTAF1	43	3.149331147583	0.0246011926947447	B cells
BTBD7	227	2.31175356967825	0.0332160316319195	B cells
BTBD9	452	2.21474661471442	0.0108829348722176	B cells
BTC	29	3.50975068268081	0.0108829348722176	B cells
C12orf10	17	3.88304692790059	0.0157154761904762	B cells
C1GALT1C1	12	3.98870889931737	0.0246011926947447	B cells
C23H1ORF109	63	1.69045381170126	0.0455206896551724	B cells
C2CD5	216	2.50084355207154	0.0108829348722176	B cells
C2H6orf52	41	2.88610977553188	0.0373437057991513	B cells
C3orf38	44	3.45167410631823	0.00577219064276345	B cells
C4BPM	226	2.16903453013696	0.00577219064276345	B cells
C6orf62	48	3.41974527999822	0.00577219064276345	B cells
C7orf49	19	4.1458440008829	0.0289389842893679	B cells
C7orf73	6	5.11605608652586	0.020293620292083	B cells
C9orf142	16	4.53545932624492	0.0108829348722176	B cells
C9orf69	25	3.52999037754827	0.0246011926947447	B cells
C9orf78	24	4.17399707479598	0.00577219064276345	B cells
CA5A	2	11.5515676396558	0.0455206896551724	B cells
CABYR	25	3.56115756166772	0.0108829348722176	B cells
CACFD1	39	3.31520148709785	0.00577219064276345	B cells
CACUL1	3	7.6928115565125	0.0108829348722176	B cells
CALCOCO2	36	3.31627829576758	0.00577219064276345	B cells
CAMK2B	7	4.32661959053255	0.0108829348722176	B cells
CBX5	11	4.36209758823229	0.0289389842893679	B cells
CCAR1	51	2.90547831588121	0.020293620292083	B cells
CCDC126	78	2.76675522555867	0.0246011926947447	B cells
CCDC130	5	4.63220696628338	0.0332160316319195	B cells
CCDC50	106	2.12094427226019	0.00577219064276345	B cells
CCDC59	11	4.03156661533625	0.0246011926947447	B cells
CCDC6	321	2.397199714966	0.0157154761904762	B cells
CCDC97	12	4.15024919614787	0.0108829348722176	B cells
CCM2	83	2.68065356352372	0.0332160316319195	B cells
CCNG2	36	3.1948492379756	0.0246011926947447	B cells
CCNT2	158	2.42734697597265	0.020293620292083	B cells
CD180	16	2.84601508803273	0.0332160316319195	B cells
CD6	12	4.00301387640992	0.0246011926947447	B cells
CD81	26	3.88956454270312	0.0373437057991513	B cells
CD99L2	56	3.04157816893747	0.00577219064276345	B cells
CDC26	2	7.91595408253168	0.020293620292083	B cells
CDH22	37	1.31001396073684	0.00577219064276345	B cells
CDH23	94	2.38788394825317	0.0108829348722176	B cells
CDK14	1479	2.07711026014218	0.0332160316319195	B cells
CECR6	10	4.63725954241563	0.0157154761904762	B cells
CELF5	29	2.13260116152749	0.00577219064276345	B cells
CENPC	3	6.18378958943063	0.0246011926947447	B cells
CEP57	55	2.73265507365084	0.0108829348722176	B cells
CEP85L	6	7.27509029451853	0.00577219064276345	B cells
CERKL	23	3.97126352814634	0.00577219064276345	B cells
CFLAR	82	3.03956366737562	0.00577219064276345	B cells
CHCHD7	122	2.1649542986799	0.00577219064276345	B cells
CHIR-AB-502	10	3.24500104181262	0.0373437057991513	B cells
CHST3	57	3.09150564308203	0.0157154761904762	B cells
CMTM6	85	2.51799653515295	0.00577219064276345	B cells
CNDP2	100	2.51172408369669	0.0289389842893679	B cells
CNGA2	65	2.72301777695579	0.0108829348722176	B cells
CNOT4	344	2.27410306292324	0.020293620292083	B cells
COMMD10	144	1.61766029088256	0.0289389842893679	B cells
COMP	100	2.22059083634098	0.0415561385099685	B cells
COPG2	71	2.64650847396056	0.0108829348722176	B cells
COX11	28	3.09552648001507	0.0332160316319195	B cells
COX4I1	24	3.78109521461202	0.0157154761904762	B cells
CPE	81	2.66124530137535	0.0373437057991513	B cells
CPT2	35	2.71378567360298	0.00577219064276345	B cells
CRACD	98	2.77868036542009	0.0108829348722176	B cells
CRKL	72	2.9546799628859	0.0157154761904762	B cells
CRNKL1	74	2.89046075812943	0.00577219064276345	B cells
CRTC1	112	2.4652202878487	0.0415561385099685	B cells
CRYBB3	12	4.39493754797703	0.0289389842893679	B cells
CRYGN	37	3.41818411642568	0.0108829348722176	B cells
CSNK1D	148	2.85034581906611	0.00577219064276345	B cells
CSPP1	373	2.05952389815958	0.020293620292083	B cells
CTH	26	3.08278347900029	0.00577219064276345	B cells
CTHRC1	18	3.08332766606176	0.0246011926947447	B cells
CTR9	102	2.68135137815417	0.00577219064276345	B cells
CTSH	41	3.46358031412277	0.0108829348722176	B cells
CWF19L1	34	3.0307776578034	0.0494756388415673	B cells
CWF19L2	157	1.55335524125253	0.0108829348722176	B cells
CXorf36	12	3.85958782080242	0.0494756388415673	B cells
CYB5R1	96	2.59958796836769	0.0415561385099685	B cells
CYFIP2	260	2.57777226585945	0.0332160316319195	B cells
DALRD3	24	3.30302081460926	0.0494756388415673	B cells
DAZAP2	2	6.83888612446788	0.0108829348722176	B cells
DCUN1D4	229	2.49138192573433	0.00577219064276345	B cells
DDC	5	6.40562017778667	0.00577219064276345	B cells
DDHD1	23	2.27681964320816	0.0108829348722176	B cells
DDX41	29	3.11185305039773	0.0373437057991513	B cells
DDX46	104	2.6109950461651	0.0246011926947447	B cells
DDX49	17	3.91516713568712	0.0246011926947447	B cells
DDX60	122	2.18744115058561	0.020293620292083	B cells
DENND2D	52	3.00323605331226	0.020293620292083	B cells
DENND4A	33	3.30622452415103	0.0108829348722176	B cells
DGCR6	43	2.60407546376398	0.00577219064276345	B cells
DGKZ	4	5.06135169188129	0.0373437057991513	B cells
DGUOK	5	5.61422112199194	0.0332160316319195	B cells
DHX15	46	2.85335941034753	0.0246011926947447	B cells
DHX57	135	2.45564001124101	0.0332160316319195	B cells
DHX58	27	2.91139269762805	0.0246011926947447	B cells
DIDO1	241	2.4227882342194	0.00577219064276345	B cells
DIP2A	8	4.95212227302043	0.0246011926947447	B cells
DISP3	4	6.59402962918841	0.00577219064276345	B cells
DKK3	122	2.29972568104476	0.0108829348722176	B cells
DNAH17	197	2.45500617737252	0.0332160316319195	B cells
DNAJB14	191	2.47362222013122	0.0108829348722176	B cells
DNAJC10	138	2.61690646693804	0.0157154761904762	B cells
DNAJC2	76	2.81768350091098	0.00577219064276345	B cells
DND1	9	5.11578786019719	0.0108829348722176	B cells
DNLZ	57	3.08125692878444	0.0108829348722176	B cells
DNPEP	34	3.51297599758513	0.00577219064276345	B cells
DOCK11	233	2.30367593815047	0.0157154761904762	B cells
DPF3	136	1.89722295081857	0.0246011926947447	B cells
DSCAM	56	0.657339712853401	0.00577219064276345	B cells
DSE	130	2.61855478626586	0.00577219064276345	B cells
DTNB	26	2.44695872007334	0.0455206896551724	B cells
DTNBP1	273	2.05885854578278	0.0289389842893679	B cells
DTX1	8	4.28572984613665	0.0494756388415673	B cells
DUS1L	72	2.93411874056493	0.00577219064276345	B cells
DUS2	10	4.6188722213472	0.0157154761904762	B cells
DUSP22	183	2.75012611070274	0.0108829348722176	B cells
DYM	20	2.4325750272915	0.00577219064276345	B cells
DYNC1LI2	16	3.37649209501321	0.0494756388415673	B cells
E2F4	82	2.92985138406699	0.0108829348722176	B cells
EEF1D	4	6.9817185809168	0.020293620292083	B cells
EEFSEC	292	1.70025846647047	0.0108829348722176	B cells
EHBP1L1	18	3.74415462062022	0.00577219064276345	B cells
EIF2AK1	64	2.674242358162	0.0373437057991513	B cells
