SampleID*,Sample_name,Sample_name2,Sample_old,Library_name,Bird_age,Library_ID,Flowcell,Tissue,Animal_ID,ASE,order,System,*id used in publications
Bcell.01,Sample_bcell_rep1,bcell_rep1,BCell_RNA18,BCell_RNA18,0,Library_02,no_flow,B cells,ucdx,ok,1,Immune System (Tissues and Cells),
Bursa.01,Sample_bursa_rep1,bursa_rep1,bursa7,B7,0,Library_01,H7TJVBBXX,Bursa,m7,ok,2,Immune System (Tissues and Cells),
Bursa.02,Sample_bursa_rep2,bursa_rep2,bursa11,B8,0,Library_01,H7TJVBBXX,Bursa,m11,ok,3,Immune System (Tissues and Cells),
P.cecum.01,Sample_cecum_rep1,cecum_rep1,C14,C14,0,Library_01,H7TJVBBXX,Proximal Cecum,m13,ok,4,Intestinal System,
P.cecum.02,Sample_cecum_rep2,cecum_rep2,C15,C15,0,Library_01,H7TJVBBXX,Proximal Cecum,m15,ok,5,Intestinal System,
Macrophage.D0.01,Sample_d0_rep1,d0_rep1,USDA001,USDA001,60,Library_07,H5HK7DSX7,Macrophage at Day 0 Differentiation (D0),m139,ok,6,Immune System (Tissues and Cells),
Macrophage.D0.02,Sample_d0_rep2,d0_rep2,X2,X2,0,Library_05,HHTJGBBXX,Macrophage at Day 0 Differentiation (D0),m125,ok,7,Immune System (Tissues and Cells),
Macrophage.D3.01,Sample_d3_rep1,d3_rep1,USDA003,USDA003,112,Library_07,H5MT2DSX7,Macrophage at Day 3 Differentiation (D3),m124,ok,8,Immune System (Tissues and Cells),
Macrophage.D3.02,Sample_d3_rep2,d3_rep2,USDA004,USDA004,102,Library_07,H5MT2DSX7,Macrophage at Day 3 Differentiation (D3),m141,ok,9,Immune System (Tissues and Cells),
Macrophage.D6.01,Sample_d6_rep1,d6_rep1,USDA005,USDA005,102,Library_07,H5MT2DSX7,Macrophage at Day 6 Differentiation (D6),m114,ok,10,Immune System (Tissues and Cells),
Macrophage.D6.02,Sample_d6_rep2,d6_rep2,USDA006,USDA006,102,Library_07,H5MTFDSX7,Macrophage at Day 6 Differentiation (D6),m119,ok,11,Immune System (Tissues and Cells),
T.muscle.01,Sample_dm_rep1,dm_rep1,M7dm,K2,0,Library_04,HFW5TCCX,Iliotibialis Lateralis (M.Tight),m7,ok,12,Muscular System (Chicken Meat),
T.muscle.02,Sample_dm_rep2,dm_rep2,M8dm,L2,0,Library_04,HFW5TCCX,Iliotibialis Lateralis (M.Tight),m8,ok,13,Muscular System (Chicken Meat),
Ileum.01,Sample_Ileum_rep1,Ileum_rep1,A2B2_Mixed,A2B2_mixed,0,Library_01,no_flow,Ileum,m13,ok,14,Intestinal System,
Ileum.02,Sample_Ileum_rep2,Ileum_rep2,A3B3_Mixed,A3B3_mixed,0,Library_01,no_flow,Ileum,m15,ok,15,Intestinal System,
Jejunum.01,Sample_jejunum_rep1,jejunum_rep1,JE14,JE14,0,Library_01,H7TJVBBXX,Jejunum,m13,ok,16,Intestinal System,
Jejunum.02,Sample_jejunum_rep2,jejunum_rep2,JE15,JE15,0,Library_01,H7TJVBBXX,Jejunum,m15,ok,17,Intestinal System,
Kidney.01,Sample_kidney_rep1,kidney_rep1,USDA011,USDA011,60,Library_07,H5MTGDSX7,Kidney,m129,ok,18,Excretory System,
Kidney.02,Sample_kidney_rep2,kideney_rep2,USDA012,USDA012,60,Library_07,H5MVYDSX7,Kidney,m139,ok,19,Excretory System,
Macrophage.lung.01,Sample_macrophage_lung_rep1,macrophage_lung_rep1,USDA21,USDA21,0,Library_01,HFHYYCCX2,Macrophage (From Lung),usda21,ok,20,Immune System (Tissues and Cells),
Macrophage.lung.02,Sample_macrophage_lung_rep2,macrophage_lung_rep2,USDA007,USDA007,46,Library_07,H5MTFDSX7,Macrophage (From Lung),m104,ok,21,Immune System (Tissues and Cells),
BCell.02,Sample_bcell_rep2,bcell_rep2,MCl_BCell_RNA,MCl_BCell_RNA,0,Library_02,no_flow,B cells,ucdy,ok,22,Immune System (Tissues and Cells),
Monocyte.01,Sample_mo_blood_rep1,mo_blood_rep1,Mo_RNA_137,Mo_RNA_137,0,Library_02,no_flow,Monocyte (Blood),ucd137,ok,23,Immune System (Tissues and Cells),
Monocyte.02,Sample_mo_blood_rep2,mo_blood_rep2,VCD_139_MR16,VCD_139_MR16,0,Library_02,no_flow,Monocyte (Blood),ucd139,ok,24,Immune System (Tissues and Cells),
Magnum.od1.01,Sample_od1_rep1,od1_rep1,USDA02,USDA02,211,Library_06,HY7LTDSX3,Magnum,m124,ok,25,Reproductive Female Duct System,
