Chrm_ncbi	Chromosome 
NC_052532.1	1
NC_052533.1	2
NC_052534.1	3
NC_052535.1	4
NC_052536.1	5
NC_052537.1	6
NC_052538.1	7
NC_052539.1	8
NC_052540.1	9
NC_052541.1	10
NC_052542.1	11
NC_052543.1	12
NC_052544.1	13
NC_052545.1	14
NC_052546.1	15
NC_052547.1	16
NC_052548.1	17
NC_052549.1	18
NC_052550.1	19
NC_052551.1	20
NC_052552.1	21
NC_052553.1	22
NC_052554.1	23
NC_052555.1	24
NC_052556.1	25
NC_052557.1	26
NC_052558.1	27
NC_052559.1	28
NC_052560.1	29
NC_052561.1	30
NC_052562.1	31
NC_052563.1	32
NC_052564.1	33
NC_052565.1	34
NC_052566.1	35
NC_052567.1	36
NC_052568.1	37
NC_052569.1	38
NC_052570.1	39
NC_052571.1	W
NC_052572.1	Z
NC_053523.1	MT
